,State,Year,Month,Drug Name,Death Count
62,AK,2016,July,Methadone (T40.3),21.0
63,AK,2016,July,"Opioids (T40.0-T40.4,T40.6)",107.0
64,AK,2016,July,Cocaine (T40.5),13.0
65,AK,2016,July,Heroin (T40.1),42.0
66,AK,2016,July,Percent with drugs specified,96.50349650349648
67,AK,2016,July,Number of Deaths,4269.0
68,AK,2016,July,Natural & semi-synthetic opioids (T40.2),60.0
69,AK,2016,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70.0
70,AK,2016,July,"Synthetic opioids, excl. methadone (T40.4)",13.0
71,AK,2016,July,Number of Drug Overdose Deaths,143.0
72,AK,2016,June,Cocaine (T40.5),11.0
73,AK,2016,June,"Opioids (T40.0-T40.4,T40.6)",102.0
74,AK,2016,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",76.0
75,AK,2016,June,Psychostimulants with abuse potential (T43.6),37.0
76,AK,2016,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",69.0
77,AK,2016,June,"Synthetic opioids, excl. methadone (T40.4)",12.0
78,AK,2016,June,Methadone (T40.3),20.0
79,AK,2016,June,Number of Drug Overdose Deaths,138.0
80,AK,2016,June,Number of Deaths,4261.0
81,AK,2016,June,Percent with drugs specified,97.1014492753623
82,AK,2016,June,Natural & semi-synthetic opioids (T40.2),60.0
83,AK,2016,June,Heroin (T40.1),40.0
84,AK,2016,March,"Opioids (T40.0-T40.4,T40.6)",90.0
85,AK,2016,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",64.0
86,AK,2016,March,Methadone (T40.3),16.0
87,AK,2016,March,Natural & semi-synthetic opioids (T40.2),57.0
88,AK,2016,March,Psychostimulants with abuse potential (T43.6),31.0
89,AK,2016,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0
90,AK,2016,March,"Synthetic opioids, excl. methadone (T40.4)",12.0
91,AK,2016,March,Cocaine (T40.5),
92,AK,2016,March,Percent with drugs specified,92.8
93,AK,2016,March,Number of Deaths,4230.0
94,AK,2016,March,Number of Drug Overdose Deaths,125.0
95,AK,2016,March,Heroin (T40.1),38.0
96,AK,2016,May,Cocaine (T40.5),11.0
97,AK,2016,May,"Opioids (T40.0-T40.4,T40.6)",103.0
98,AK,2016,May,"Synthetic opioids, excl. methadone (T40.4)",11.0
99,AK,2016,May,Methadone (T40.3),17.0
100,AK,2016,May,Psychostimulants with abuse potential (T43.6),39.0
101,AK,2016,May,Percent with drugs specified,95.7142857142857
102,AK,2016,May,Number of Deaths,4241.0
103,AK,2016,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77.0
104,AK,2016,May,Natural & semi-synthetic opioids (T40.2),63.0
105,AK,2016,May,Heroin (T40.1),44.0
106,AK,2016,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",70.0
107,AK,2016,May,Number of Drug Overdose Deaths,140.0
108,AK,2016,November,Number of Deaths,4289.0
109,AK,2016,November,Natural & semi-synthetic opioids (T40.2),51.0
110,AK,2016,November,Heroin (T40.1),45.0
111,AK,2016,November,Percent with drugs specified,97.7443609022556
112,AK,2016,November,Number of Drug Overdose Deaths,133.0
113,AK,2016,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",59.0
114,AK,2016,November,Psychostimulants with abuse potential (T43.6),45.0
115,AK,2016,November,"Synthetic opioids, excl. methadone (T40.4)",
116,AK,2016,November,"Opioids (T40.0-T40.4,T40.6)",99.0
117,AK,2016,November,Methadone (T40.3),15.0
118,AK,2016,November,Cocaine (T40.5),15.0
119,AK,2016,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0
120,AK,2016,October,Number of Deaths,4291.0
121,AK,2016,October,Percent with drugs specified,96.9465648854962
122,AK,2016,October,Natural & semi-synthetic opioids (T40.2),53.0
123,AK,2016,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",64.0
124,AK,2016,October,Psychostimulants with abuse potential (T43.6),44.0
125,AK,2016,October,Methadone (T40.3),15.0
126,AK,2016,October,Number of Drug Overdose Deaths,131.0
127,AK,2016,October,Heroin (T40.1),38.0
128,AK,2016,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",60.0
129,AK,2016,October,"Opioids (T40.0-T40.4,T40.6)",94.0
130,AK,2016,October,"Synthetic opioids, excl. methadone (T40.4)",
131,AK,2016,October,Cocaine (T40.5),13.0
132,AK,2016,September,Psychostimulants with abuse potential (T43.6),42.0
133,AK,2016,September,Natural & semi-synthetic opioids (T40.2),54.0
134,AK,2016,September,Number of Deaths,4256.0
135,AK,2016,September,"Synthetic opioids, excl. methadone (T40.4)",10.0
136,AK,2016,September,"Opioids (T40.0-T40.4,T40.6)",96.0
137,AK,2016,September,Methadone (T40.3),17.0
138,AK,2016,September,Percent with drugs specified,96.9465648854962
139,AK,2016,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",62.0
140,AK,2016,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68.0
141,AK,2016,September,Heroin (T40.1),37.0
142,AK,2016,September,Number of Drug Overdose Deaths,131.0
143,AK,2016,September,Cocaine (T40.5),11.0
144,AK,2017,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",35.0
145,AK,2017,April,Natural & semi-synthetic opioids (T40.2),30.0
146,AK,2017,April,Psychostimulants with abuse potential (T43.6),52.0
147,AK,2017,April,"Synthetic opioids, excl. methadone (T40.4)",12.0
148,AK,2017,April,"Opioids (T40.0-T40.4,T40.6)",78.0
149,AK,2017,April,Percent with drugs specified,97.4358974358974
150,AK,2017,April,Number of Deaths,4325.0
151,AK,2017,April,Methadone (T40.3),
152,AK,2017,April,Heroin (T40.1),43.0
153,AK,2017,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",44.0
154,AK,2017,April,Number of Drug Overdose Deaths,117.0
155,AK,2017,April,Cocaine (T40.5),16.0
156,AK,2017,August,Heroin (T40.1),46.0
157,AK,2017,August,Number of Drug Overdose Deaths,137.0
158,AK,2017,August,"Synthetic opioids, excl. methadone (T40.4)",29.0
159,AK,2017,August,"Opioids (T40.0-T40.4,T40.6)",99.0
160,AK,2017,August,Number of Deaths,4234.0
161,AK,2017,August,Methadone (T40.3),
162,AK,2017,August,Natural & semi-synthetic opioids (T40.2),44.0
163,AK,2017,August,Cocaine (T40.5),21.0
164,AK,2017,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0
165,AK,2017,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",68.0
166,AK,2017,August,Psychostimulants with abuse potential (T43.6),64.0
167,AK,2017,August,Percent with drugs specified,97.0802919708029
168,AK,2017,December,"Opioids (T40.0-T40.4,T40.6)",100.0
169,AK,2017,December,"Synthetic opioids, excl. methadone (T40.4)",37.0
170,AK,2017,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50.0
171,AK,2017,December,Percent with drugs specified,97.16312056737593
172,AK,2017,December,Natural & semi-synthetic opioids (T40.2),46.0
173,AK,2017,December,Number of Deaths,4279.0
174,AK,2017,December,Psychostimulants with abuse potential (T43.6),64.0
175,AK,2017,December,Heroin (T40.1),36.0
176,AK,2017,December,Methadone (T40.3),
177,AK,2017,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0
178,AK,2017,December,Cocaine (T40.5),18.0
179,AK,2017,December,Number of Drug Overdose Deaths,141.0
180,AK,2017,February,Natural & semi-synthetic opioids (T40.2),36.0
181,AK,2017,February,Percent with drugs specified,98.3870967741936
182,AK,2017,February,Psychostimulants with abuse potential (T43.6),54.0
183,AK,2017,February,Number of Deaths,4347.0
184,AK,2017,February,Number of Drug Overdose Deaths,124.0
185,AK,2017,February,Methadone (T40.3),
186,AK,2017,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0
187,AK,2017,February,Heroin (T40.1),49.0
188,AK,2017,February,"Synthetic opioids, excl. methadone (T40.4)",11.0
189,AK,2017,February,"Opioids (T40.0-T40.4,T40.6)",90.0
190,AK,2017,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50.0
191,AK,2017,February,Cocaine (T40.5),18.0
192,AK,2017,January,Number of Deaths,4374.0
193,AK,2017,January,Psychostimulants with abuse potential (T43.6),55.0
194,AK,2017,January,Methadone (T40.3),11.0
195,AK,2017,January,Number of Drug Overdose Deaths,126.0
196,AK,2017,January,Natural & semi-synthetic opioids (T40.2),40.0
197,AK,2017,January,Percent with drugs specified,99.2063492063492
198,AK,2017,January,"Synthetic opioids, excl. methadone (T40.4)",10.0
199,AK,2017,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0
200,AK,2017,January,Heroin (T40.1),50.0
201,AK,2017,January,"Opioids (T40.0-T40.4,T40.6)",93.0
202,AK,2017,January,Cocaine (T40.5),15.0
203,AK,2017,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",54.0
204,AK,2017,July,Heroin (T40.1),44.0
205,AK,2017,July,Number of Drug Overdose Deaths,128.0
206,AK,2017,July,"Opioids (T40.0-T40.4,T40.6)",91.0
207,AK,2017,July,Number of Deaths,4236.0
208,AK,2017,July,Natural & semi-synthetic opioids (T40.2),40.0
209,AK,2017,July,"Synthetic opioids, excl. methadone (T40.4)",27.0
210,AK,2017,July,Cocaine (T40.5),20.0
211,AK,2017,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",63.0
212,AK,2017,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0
213,AK,2017,July,Psychostimulants with abuse potential (T43.6),59.0
214,AK,2017,July,Percent with drugs specified,97.65625
215,AK,2017,July,Methadone (T40.3),
216,AK,2017,June,"Synthetic opioids, excl. methadone (T40.4)",24.0
217,AK,2017,June,Number of Deaths,4276.0
218,AK,2017,June,Heroin (T40.1),42.0
219,AK,2017,June,Psychostimulants with abuse potential (T43.6),54.0
220,AK,2017,June,"Opioids (T40.0-T40.4,T40.6)",85.0
221,AK,2017,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",40.0
222,AK,2017,June,Number of Drug Overdose Deaths,122.0
223,AK,2017,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",57.0
224,AK,2017,June,Percent with drugs specified,96.72131147540979
225,AK,2017,June,Methadone (T40.3),
226,AK,2017,June,Cocaine (T40.5),20.0
227,AK,2017,June,Natural & semi-synthetic opioids (T40.2),35.0
228,AK,2017,March,Natural & semi-synthetic opioids (T40.2),35.0
229,AK,2017,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41.0
230,AK,2017,March,Psychostimulants with abuse potential (T43.6),55.0
231,AK,2017,March,Number of Deaths,4359.0
232,AK,2017,March,Number of Drug Overdose Deaths,126.0
233,AK,2017,March,"Synthetic opioids, excl. methadone (T40.4)",11.0
234,AK,2017,March,"Opioids (T40.0-T40.4,T40.6)",87.0
235,AK,2017,March,Methadone (T40.3),
236,AK,2017,March,Cocaine (T40.5),19.0
237,AK,2017,March,Heroin (T40.1),47.0
238,AK,2017,March,Percent with drugs specified,98.4126984126984
239,AK,2017,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",49.0
240,AK,2017,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",39.0
241,AK,2017,May,"Synthetic opioids, excl. methadone (T40.4)",21.0
242,AK,2017,May,Number of Deaths,4277.0
243,AK,2017,May,Percent with drugs specified,96.6666666666667
244,AK,2017,May,Psychostimulants with abuse potential (T43.6),52.0
245,AK,2017,May,Heroin (T40.1),40.0
246,AK,2017,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",53.0
247,AK,2017,May,"Opioids (T40.0-T40.4,T40.6)",81.0
248,AK,2017,May,Methadone (T40.3),10.0
249,AK,2017,May,Number of Drug Overdose Deaths,120.0
250,AK,2017,May,Cocaine (T40.5),18.0
251,AK,2017,May,Natural & semi-synthetic opioids (T40.2),32.0
252,AK,2017,November,"Opioids (T40.0-T40.4,T40.6)",97.0
253,AK,2017,November,"Synthetic opioids, excl. methadone (T40.4)",33.0
254,AK,2017,November,Percent with drugs specified,97.1014492753623
255,AK,2017,November,Methadone (T40.3),
256,AK,2017,November,Number of Deaths,4308.0
257,AK,2017,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0
258,AK,2017,November,Number of Drug Overdose Deaths,138.0
259,AK,2017,November,Natural & semi-synthetic opioids (T40.2),43.0
260,AK,2017,November,Heroin (T40.1),38.0
261,AK,2017,November,Psychostimulants with abuse potential (T43.6),67.0
262,AK,2017,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",70.0
263,AK,2017,November,Cocaine (T40.5),17.0
264,AK,2017,October,Percent with drugs specified,97.2222222222222
265,AK,2017,October,Methadone (T40.3),
266,AK,2017,October,Heroin (T40.1),46.0
267,AK,2017,October,Number of Drug Overdose Deaths,144.0
268,AK,2017,October,Number of Deaths,4283.0
269,AK,2017,October,"Synthetic opioids, excl. methadone (T40.4)",33.0
270,AK,2017,October,Cocaine (T40.5),20.0
271,AK,2017,October,"Opioids (T40.0-T40.4,T40.6)",103.0
272,AK,2017,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",72.0
273,AK,2017,October,Natural & semi-synthetic opioids (T40.2),45.0
274,AK,2017,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",49.0
275,AK,2017,October,Psychostimulants with abuse potential (T43.6),70.0
276,AK,2017,September,Methadone (T40.3),
277,AK,2017,September,Heroin (T40.1),46.0
278,AK,2017,September,Number of Deaths,4299.0
279,AK,2017,September,Number of Drug Overdose Deaths,148.0
280,AK,2017,September,"Synthetic opioids, excl. methadone (T40.4)",32.0
281,AK,2017,September,"Opioids (T40.0-T40.4,T40.6)",106.0
282,AK,2017,September,Percent with drugs specified,97.2972972972973
283,AK,2017,September,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",74.0
284,AK,2017,September,Natural & semi-synthetic opioids (T40.2),48.0
285,AK,2017,September,Cocaine (T40.5),22.0
286,AK,2017,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",52.0
287,AK,2017,September,Psychostimulants with abuse potential (T43.6),68.0
288,AK,2018,April,Number of Deaths,4340.0
289,AK,2018,April,"Synthetic opioids, excl. methadone (T40.4)",38.0
290,AK,2018,April,Natural & semi-synthetic opioids (T40.2),48.0
291,AK,2018,April,Psychostimulants with abuse potential (T43.6),61.0
292,AK,2018,April,Number of Drug Overdose Deaths,142.0
293,AK,2018,April,Cocaine (T40.5),15.0
294,AK,2018,April,Methadone (T40.3),11.0
295,AK,2018,April,"Opioids (T40.0-T40.4,T40.6)",102.0
296,AK,2018,April,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55.0
297,AK,2018,April,Percent with drugs specified,98.59154929577473
298,AK,2018,April,Heroin (T40.1),36.0
299,AK,2018,April,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80.0
300,AK,2018,August,"Synthetic opioids, excl. methadone (T40.4)",19.0
301,AK,2018,August,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",42.0
302,AK,2018,August,Psychostimulants with abuse potential (T43.6),47.0
303,AK,2018,August,Number of Deaths,4383.0
304,AK,2018,August,Number of Drug Overdose Deaths,110.0
305,AK,2018,August,Methadone (T40.3),
306,AK,2018,August,Percent with drugs specified,100.0
307,AK,2018,August,Natural & semi-synthetic opioids (T40.2),37.0
308,AK,2018,August,Cocaine (T40.5),
309,AK,2018,August,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",56.0
310,AK,2018,August,"Opioids (T40.0-T40.4,T40.6)",73.0
311,AK,2018,August,Heroin (T40.1),24.0
312,AK,2018,December,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",37.0
313,AK,2018,December,Number of Drug Overdose Deaths,105.0
314,AK,2018,December,Psychostimulants with abuse potential (T43.6),49.0
315,AK,2018,December,"Opioids (T40.0-T40.4,T40.6)",65.0
316,AK,2018,December,Number of Deaths,4333.0
317,AK,2018,December,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",46.0
318,AK,2018,December,Methadone (T40.3),
319,AK,2018,December,Heroin (T40.1),28.0
320,AK,2018,December,Percent with drugs specified,100.0
321,AK,2018,December,Cocaine (T40.5),10.0
322,AK,2018,December,Natural & semi-synthetic opioids (T40.2),33.0
323,AK,2018,December,"Synthetic opioids, excl. methadone (T40.4)",16.0
324,AK,2018,February,Number of Deaths,4303.0
325,AK,2018,February,Methadone (T40.3),10.0
326,AK,2018,February,Psychostimulants with abuse potential (T43.6),56.0
327,AK,2018,February,"Synthetic opioids, excl. methadone (T40.4)",38.0
328,AK,2018,February,Percent with drugs specified,97.84172661870501
329,AK,2018,February,Natural & semi-synthetic opioids (T40.2),48.0
330,AK,2018,February,Cocaine (T40.5),14.0
331,AK,2018,February,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",54.0
332,AK,2018,February,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",80.0
333,AK,2018,February,Heroin (T40.1),37.0
334,AK,2018,February,Number of Drug Overdose Deaths,139.0
335,AK,2018,February,"Opioids (T40.0-T40.4,T40.6)",102.0
336,AK,2018,January,"Synthetic opioids, excl. methadone (T40.4)",38.0
337,AK,2018,January,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",51.0
338,AK,2018,January,Number of Deaths,4259.0
339,AK,2018,January,Psychostimulants with abuse potential (T43.6),59.0
340,AK,2018,January,Percent with drugs specified,97.1014492753623
341,AK,2018,January,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",77.0
342,AK,2018,January,Methadone (T40.3),
343,AK,2018,January,Natural & semi-synthetic opioids (T40.2),46.0
344,AK,2018,January,Cocaine (T40.5),16.0
345,AK,2018,January,Heroin (T40.1),36.0
346,AK,2018,January,"Opioids (T40.0-T40.4,T40.6)",100.0
347,AK,2018,January,Number of Drug Overdose Deaths,138.0
348,AK,2018,July,"Synthetic opioids, excl. methadone (T40.4)",22.0
349,AK,2018,July,Cocaine (T40.5),
350,AK,2018,July,Natural & semi-synthetic opioids (T40.2),38.0
351,AK,2018,July,Number of Drug Overdose Deaths,116.0
352,AK,2018,July,Psychostimulants with abuse potential (T43.6),50.0
353,AK,2018,July,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",43.0
354,AK,2018,July,Percent with drugs specified,99.1379310344828
355,AK,2018,July,Heroin (T40.1),26.0
356,AK,2018,July,Number of Deaths,4337.0
357,AK,2018,July,"Opioids (T40.0-T40.4,T40.6)",76.0
358,AK,2018,July,Methadone (T40.3),
359,AK,2018,July,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0
360,AK,2018,June,Number of Deaths,4308.0
361,AK,2018,June,"Synthetic opioids, excl. methadone (T40.4)",24.0
362,AK,2018,June,Percent with drugs specified,99.2
363,AK,2018,June,Natural & semi-synthetic opioids (T40.2),43.0
364,AK,2018,June,Cocaine (T40.5),10.0
365,AK,2018,June,Heroin (T40.1),31.0
366,AK,2018,June,Number of Drug Overdose Deaths,125.0
367,AK,2018,June,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0
368,AK,2018,June,Methadone (T40.3),10.0
369,AK,2018,June,Psychostimulants with abuse potential (T43.6),55.0
370,AK,2018,June,"Opioids (T40.0-T40.4,T40.6)",85.0
371,AK,2018,June,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",65.0
372,AK,2018,March,"Synthetic opioids, excl. methadone (T40.4)",38.0
373,AK,2018,March,Number of Deaths,4285.0
374,AK,2018,March,Natural & semi-synthetic opioids (T40.2),47.0
375,AK,2018,March,Cocaine (T40.5),13.0
376,AK,2018,March,Psychostimulants with abuse potential (T43.6),56.0
377,AK,2018,March,Number of Drug Overdose Deaths,136.0
378,AK,2018,March,Percent with drugs specified,97.7941176470588
379,AK,2018,March,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0
380,AK,2018,March,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",79.0
381,AK,2018,March,Heroin (T40.1),35.0
382,AK,2018,March,Methadone (T40.3),10.0
383,AK,2018,March,"Opioids (T40.0-T40.4,T40.6)",101.0
384,AK,2018,May,Methadone (T40.3),
385,AK,2018,May,Cocaine (T40.5),12.0
386,AK,2018,May,Percent with drugs specified,99.2063492063492
387,AK,2018,May,Heroin (T40.1),33.0
388,AK,2018,May,"Synthetic opioids, excl. methadone (T40.4)",27.0
389,AK,2018,May,Number of Drug Overdose Deaths,126.0
390,AK,2018,May,Number of Deaths,4351.0
391,AK,2018,May,Psychostimulants with abuse potential (T43.6),55.0
392,AK,2018,May,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",67.0
393,AK,2018,May,Natural & semi-synthetic opioids (T40.2),43.0
394,AK,2018,May,"Opioids (T40.0-T40.4,T40.6)",88.0
395,AK,2018,May,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",48.0
396,AK,2018,November,Psychostimulants with abuse potential (T43.6),48.0
397,AK,2018,November,"Opioids (T40.0-T40.4,T40.6)",68.0
398,AK,2018,November,Methadone (T40.3),
399,AK,2018,November,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",50.0
400,AK,2018,November,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",38.0
401,AK,2018,November,Percent with drugs specified,100.0
402,AK,2018,November,Cocaine (T40.5),10.0
403,AK,2018,November,Number of Drug Overdose Deaths,106.0
404,AK,2018,November,Heroin (T40.1),28.0
405,AK,2018,November,Number of Deaths,4333.0
406,AK,2018,November,Natural & semi-synthetic opioids (T40.2),34.0
407,AK,2018,November,"Synthetic opioids, excl. methadone (T40.4)",19.0
408,AK,2018,October,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36.0
409,AK,2018,October,Cocaine (T40.5),
410,AK,2018,October,Number of Drug Overdose Deaths,99.0
411,AK,2018,October,"Opioids (T40.0-T40.4,T40.6)",65.0
412,AK,2018,October,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",48.0
413,AK,2018,October,Methadone (T40.3),
414,AK,2018,October,Psychostimulants with abuse potential (T43.6),42.0
415,AK,2018,October,"Synthetic opioids, excl. methadone (T40.4)",18.0
416,AK,2018,October,Natural & semi-synthetic opioids (T40.2),31.0
417,AK,2018,October,Percent with drugs specified,100.0
418,AK,2018,October,Number of Deaths,4309.0
419,AK,2018,October,Heroin (T40.1),24.0
420,AK,2018,September,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",36.0
421,AK,2018,September,"Opioids (T40.0-T40.4,T40.6)",65.0
422,AK,2018,September,Cocaine (T40.5),
423,AK,2018,September,Number of Deaths,4324.0
424,AK,2018,September,Number of Drug Overdose Deaths,100.0
425,AK,2018,September,"Synthetic opioids, excl. methadone (T40.4)",16.0
426,AK,2018,September,Natural & semi-synthetic opioids (T40.2),31.0
