State,Year,Month,Drug Name,Death Count
AK,2018,September,Opioids ,65
AK,2018,September,Prescription Opioids,131
AK,2018,October,Heroin ,24
AK,2018,October,Opioids ,65
AK,2018,October,Prescription Opioids,133
AK,2018,November,Cocaine ,10
AK,2018,November,Heroin ,28
AK,2018,November,Opioids ,68
AK,2018,November,Prescription Opioids,141
AK,2018,December,Cocaine ,10
AK,2018,December,Heroin ,28
AK,2018,December,Opioids ,65
AK,2018,December,Prescription Opioids,132
AK,2019,January,Cocaine ,10
AK,2019,January,Heroin ,27
AK,2019,January,Methadone,10
AK,2019,January,Opioids ,65
AK,2019,January,Prescription Opioids,139
AK,2019,February,Cocaine ,11
AK,2019,February,Heroin ,31
AK,2019,February,Opioids ,71
AK,2019,February,Prescription Opioids,149
AK,2019,March,Cocaine ,12
AK,2019,March,Heroin ,35
AK,2019,March,Opioids ,79
AK,2019,March,Prescription Opioids,169
AK,2019,April,Cocaine ,10
AK,2019,April,Heroin ,35
AK,2019,April,Opioids ,78
AK,2019,April,Prescription Opioids,163
AK,2019,May,Cocaine ,12
AK,2019,May,Heroin ,37
AK,2019,May,Opioids ,80
AK,2019,May,Prescription Opioids,164
AK,2019,June,Cocaine ,12
AK,2019,June,Heroin ,40
AK,2019,June,Opioids ,81
AK,2019,June,Prescription Opioids,157
AK,2019,July,Cocaine ,13
AK,2019,July,Heroin ,43
AK,2019,July,Opioids ,83
AK,2019,July,Prescription Opioids,160
AK,2019,August,Cocaine ,12
AK,2019,August,Heroin ,43
AK,2019,August,Opioids ,78
AK,2019,August,Prescription Opioids,152
AK,2019,September,Cocaine ,12
AK,2019,September,Heroin ,44
AK,2019,September,Opioids ,84
AK,2019,September,Prescription Opioids,162
AK,2019,October,Cocaine ,12
AK,2019,October,Heroin ,49
AK,2019,October,Methadone,10
AK,2019,October,Opioids ,92
AK,2019,October,Prescription Opioids,182
AK,2019,November,Heroin ,47
AK,2019,November,Methadone,10
AK,2019,November,Opioids ,88
AK,2019,November,Prescription Opioids,178
AK,2019,December,Heroin ,45
AK,2019,December,Opioids ,83
AK,2019,December,Prescription Opioids,170
AZ,2017,June,Cocaine ,116
AZ,2017,June,Heroin ,334
AZ,2017,June,Methadone,78
AZ,2017,June,Opioids ,866
AZ,2017,June,Prescription Opioids,1455
AZ,2017,July,Cocaine ,117
AZ,2017,July,Heroin ,318
AZ,2017,July,Methadone,76
AZ,2017,July,Opioids ,862
AZ,2017,July,Prescription Opioids,1501
AZ,2017,August,Cocaine ,118
AZ,2017,August,Heroin ,324
AZ,2017,August,Methadone,72
AZ,2017,August,Opioids ,863
AZ,2017,August,Prescription Opioids,1483
AZ,2017,September,Cocaine ,120
AZ,2017,September,Heroin ,332
AZ,2017,September,Methadone,65
AZ,2017,September,Opioids ,877
AZ,2017,September,Prescription Opioids,1501
AZ,2017,October,Cocaine ,131
AZ,2017,October,Heroin ,335
AZ,2017,October,Methadone,72
AZ,2017,October,Opioids ,896
AZ,2017,October,Prescription Opioids,1547
AZ,2017,November,Cocaine ,128
AZ,2017,November,Heroin ,338
AZ,2017,November,Methadone,80
AZ,2017,November,Opioids ,908
AZ,2017,November,Prescription Opioids,1580
AZ,2017,December,Cocaine ,136
AZ,2017,December,Heroin ,341
AZ,2017,December,Methadone,85
AZ,2017,December,Opioids ,936
AZ,2017,December,Prescription Opioids,1645
AZ,2018,January,Cocaine ,134
AZ,2018,January,Heroin ,344
AZ,2018,January,Methadone,88
AZ,2018,January,Opioids ,956
AZ,2018,January,Prescription Opioids,1671
AZ,2018,February,Cocaine ,141
AZ,2018,February,Heroin ,334
AZ,2018,February,Methadone,89
AZ,2018,February,Opioids ,969
AZ,2018,February,Prescription Opioids,1713
AZ,2018,March,Cocaine ,151
AZ,2018,March,Heroin ,334
AZ,2018,March,Methadone,87
AZ,2018,March,Opioids ,973
AZ,2018,March,Prescription Opioids,1739
AZ,2018,April,Cocaine ,155
AZ,2018,April,Heroin ,327
AZ,2018,April,Methadone,85
AZ,2018,April,Opioids ,992
AZ,2018,April,Prescription Opioids,1784
AZ,2018,May,Cocaine ,159
AZ,2018,May,Heroin ,327
AZ,2018,May,Methadone,89
AZ,2018,May,Opioids ,980
AZ,2018,May,Prescription Opioids,1757
AZ,2018,June,Cocaine ,158
AZ,2018,June,Heroin ,324
AZ,2018,June,Methadone,85
AZ,2018,June,Opioids ,995
AZ,2018,June,Prescription Opioids,1799
AZ,2018,July,Cocaine ,160
AZ,2018,July,Heroin ,336
AZ,2018,July,Methadone,88
AZ,2018,July,Opioids ,1013
AZ,2018,July,Prescription Opioids,1812
AZ,2018,August,Cocaine ,163
AZ,2018,August,Heroin ,341
AZ,2018,August,Methadone,86
AZ,2018,August,Opioids ,1061
AZ,2018,August,Prescription Opioids,1912
AZ,2018,September,Cocaine ,164
AZ,2018,September,Heroin ,341
AZ,2018,September,Methadone,87
AZ,2018,September,Opioids ,1077
AZ,2018,September,Prescription Opioids,1937
AZ,2018,October,Cocaine ,165
AZ,2018,October,Heroin ,347
AZ,2018,October,Methadone,76
AZ,2018,October,Opioids ,1079
AZ,2018,October,Prescription Opioids,1926
AZ,2018,November,Cocaine ,173
AZ,2018,November,Heroin ,360
AZ,2018,November,Methadone,68
AZ,2018,November,Opioids ,1112
AZ,2018,November,Prescription Opioids,1955
AZ,2018,December,Cocaine ,175
AZ,2018,December,Heroin ,368
AZ,2018,December,Methadone,65
AZ,2018,December,Opioids ,1134
AZ,2018,December,Prescription Opioids,2006
AZ,2019,January,Cocaine ,173
AZ,2019,January,Heroin ,361
AZ,2019,January,Methadone,66
AZ,2019,January,Opioids ,1145
AZ,2019,January,Prescription Opioids,2048
AZ,2019,February,Cocaine ,164
AZ,2019,February,Heroin ,361
AZ,2019,February,Methadone,69
AZ,2019,February,Opioids ,1153
AZ,2019,February,Prescription Opioids,2065
AZ,2019,March,Cocaine ,152
AZ,2019,March,Heroin ,353
AZ,2019,March,Methadone,66
AZ,2019,March,Opioids ,1156
AZ,2019,March,Prescription Opioids,2082
AZ,2019,April,Cocaine ,161
AZ,2019,April,Heroin ,341
AZ,2019,April,Methadone,66
AZ,2019,April,Opioids ,1166
AZ,2019,April,Prescription Opioids,2131
AZ,2019,May,Cocaine ,164
AZ,2019,May,Heroin ,340
AZ,2019,May,Methadone,66
AZ,2019,May,Opioids ,1192
AZ,2019,May,Prescription Opioids,2188
AZ,2019,June,Cocaine ,158
AZ,2019,June,Heroin ,333
AZ,2019,June,Methadone,65
AZ,2019,June,Opioids ,1180
AZ,2019,June,Prescription Opioids,2179
AZ,2019,July,Cocaine ,159
AZ,2019,July,Heroin ,327
AZ,2019,July,Methadone,68
AZ,2019,July,Opioids ,1210
AZ,2019,July,Prescription Opioids,2252
AZ,2019,August,Cocaine ,159
AZ,2019,August,Heroin ,311
AZ,2019,August,Methadone,72
AZ,2019,August,Opioids ,1215
AZ,2019,August,Prescription Opioids,2295
AZ,2019,September,Cocaine ,163
AZ,2019,September,Heroin ,316
AZ,2019,September,Methadone,74
AZ,2019,September,Opioids ,1261
AZ,2019,September,Prescription Opioids,2395
AZ,2019,October,Cocaine ,165
AZ,2019,October,Heroin ,308
AZ,2019,October,Methadone,75
AZ,2019,October,Opioids ,1294
AZ,2019,October,Prescription Opioids,2470
AZ,2019,November,Cocaine ,165
AZ,2019,November,Heroin ,291
AZ,2019,November,Methadone,74
AZ,2019,November,Opioids ,1296
AZ,2019,November,Prescription Opioids,2510
AZ,2019,December,Cocaine ,157
AZ,2019,December,Heroin ,282
AZ,2019,December,Methadone,73
AZ,2019,December,Opioids ,1326
AZ,2019,December,Prescription Opioids,2573
CA,2019,June,Cocaine ,711
CA,2019,June,Heroin ,972
CA,2019,June,Methadone,206
CA,2019,June,Opioids ,2803
CA,2019,June,Prescription Opioids,5197
CA,2019,July,Cocaine ,744
CA,2019,July,Heroin ,984
CA,2019,July,Methadone,203
CA,2019,July,Opioids ,2884
CA,2019,July,Prescription Opioids,5354
CA,2019,August,Cocaine ,758
CA,2019,August,Heroin ,1011
CA,2019,August,Methadone,208
CA,2019,August,Opioids ,2984
CA,2019,August,Prescription Opioids,5555
CA,2019,September,Cocaine ,774
CA,2019,September,Heroin ,1018
CA,2019,September,Methadone,209
CA,2019,September,Opioids ,3044
CA,2019,September,Prescription Opioids,5651
CA,2019,October,Cocaine ,788
CA,2019,October,Heroin ,1016
CA,2019,October,Methadone,194
CA,2019,October,Opioids ,3118
CA,2019,October,Prescription Opioids,5829
CA,2019,November,Cocaine ,827
CA,2019,November,Heroin ,1029
CA,2019,November,Methadone,201
CA,2019,November,Opioids ,3272
CA,2019,November,Prescription Opioids,6181
CA,2019,December,Cocaine ,873
CA,2019,December,Heroin ,1009
CA,2019,December,Methadone,208
CA,2019,December,Opioids ,3352
CA,2019,December,Prescription Opioids,6371
CO,2018,July,Cocaine ,122
CO,2018,July,Heroin ,232
CO,2018,July,Methadone,50
CO,2018,July,Opioids ,595
CO,2018,July,Prescription Opioids,1050
CO,2018,August,Cocaine ,119
CO,2018,August,Heroin ,226
CO,2018,August,Methadone,49
CO,2018,August,Opioids ,582
CO,2018,August,Prescription Opioids,1046
CO,2018,September,Cocaine ,126
CO,2018,September,Heroin ,228
CO,2018,September,Methadone,51
CO,2018,September,Opioids ,570
CO,2018,September,Prescription Opioids,1000
CO,2018,November,Cocaine ,127
CO,2018,November,Heroin ,226
CO,2018,November,Methadone,50
CO,2018,November,Opioids ,553
CO,2018,November,Prescription Opioids,953
CO,2018,December,Cocaine ,133
CO,2018,December,Heroin ,234
CO,2018,December,Methadone,57
CO,2018,December,Opioids ,568
CO,2018,December,Prescription Opioids,981
CO,2019,January,Cocaine ,135
CO,2019,January,Heroin ,239
CO,2019,January,Methadone,55
CO,2019,January,Opioids ,565
CO,2019,January,Prescription Opioids,957
CO,2019,February,Cocaine ,134
CO,2019,February,Heroin ,236
CO,2019,February,Methadone,52
CO,2019,February,Opioids ,562
CO,2019,February,Prescription Opioids,954
CO,2019,March,Cocaine ,128
CO,2019,March,Heroin ,224
CO,2019,March,Methadone,51
CO,2019,March,Opioids ,556
CO,2019,March,Prescription Opioids,955
CO,2019,April,Cocaine ,122
CO,2019,April,Heroin ,218
CO,2019,April,Methadone,47
CO,2019,April,Opioids ,558
CO,2019,April,Prescription Opioids,990
CO,2019,May,Cocaine ,125
CO,2019,May,Heroin ,222
CO,2019,May,Methadone,47
CO,2019,May,Opioids ,557
CO,2019,May,Prescription Opioids,980
CO,2019,June,Cocaine ,120
CO,2019,June,Heroin ,224
CO,2019,June,Methadone,49
CO,2019,June,Opioids ,563
CO,2019,June,Prescription Opioids,992
CO,2019,July,Cocaine ,115
CO,2019,July,Heroin ,229
CO,2019,July,Methadone,48
CO,2019,July,Opioids ,580
CO,2019,July,Prescription Opioids,1022
CO,2019,August,Cocaine ,119
CO,2019,August,Heroin ,221
CO,2019,August,Methadone,47
CO,2019,August,Opioids ,580
CO,2019,August,Prescription Opioids,1032
CO,2019,October,Cocaine ,121
CO,2019,October,Heroin ,229
CO,2019,October,Methadone,45
CO,2019,October,Opioids ,603
CO,2019,October,Prescription Opioids,1078
CO,2019,November,Cocaine ,127
CO,2019,November,Heroin ,230
CO,2019,November,Methadone,41
CO,2019,November,Opioids ,617
CO,2019,November,Prescription Opioids,1099
CO,2019,December,Cocaine ,135
CO,2019,December,Heroin ,218
CO,2019,December,Methadone,37
CO,2019,December,Opioids ,644
CO,2019,December,Prescription Opioids,1200
CT,2016,January,Cocaine ,171
CT,2016,January,Heroin ,403
CT,2016,January,Methadone,72
CT,2016,January,Opioids ,711
CT,2016,January,Prescription Opioids,1104
CT,2016,February,Cocaine ,177
CT,2016,February,Heroin ,410
CT,2016,February,Methadone,72
CT,2016,February,Opioids ,731
CT,2016,February,Prescription Opioids,1149
CT,2016,March,Cocaine ,179
CT,2016,March,Heroin ,424
CT,2016,March,Methadone,71
CT,2016,March,Opioids ,741
CT,2016,March,Prescription Opioids,1153
CT,2016,April,Cocaine ,186
CT,2016,April,Heroin ,436
CT,2016,April,Methadone,73
CT,2016,April,Opioids ,766
CT,2016,April,Prescription Opioids,1227
CT,2016,May,Cocaine ,195
CT,2016,May,Heroin ,454
CT,2016,May,Methadone,74
CT,2016,May,Opioids ,795
CT,2016,May,Prescription Opioids,1294
CT,2016,June,Cocaine ,197
CT,2016,June,Heroin ,462
CT,2016,June,Methadone,72
CT,2016,June,Opioids ,810
CT,2016,June,Prescription Opioids,1361
CT,2016,July,Cocaine ,201
CT,2016,July,Heroin ,454
CT,2016,July,Methadone,62
CT,2016,July,Opioids ,800
CT,2016,July,Prescription Opioids,1358
CT,2016,August,Cocaine ,211
CT,2016,August,Heroin ,461
CT,2016,August,Methadone,64
CT,2016,August,Opioids ,825
CT,2016,August,Prescription Opioids,1451
CT,2016,September,Cocaine ,223
CT,2016,September,Heroin ,456
CT,2016,September,Methadone,65
CT,2016,September,Opioids ,832
CT,2016,September,Prescription Opioids,1491
CT,2016,October,Cocaine ,223
CT,2016,October,Heroin ,443
CT,2016,October,Methadone,66
CT,2016,October,Opioids ,814
CT,2016,October,Prescription Opioids,1486
CT,2016,November,Cocaine ,224
CT,2016,November,Heroin ,451
CT,2016,November,Methadone,68
CT,2016,November,Opioids ,834
CT,2016,November,Prescription Opioids,1548
CT,2016,December,Cocaine ,237
CT,2016,December,Heroin ,459
CT,2016,December,Methadone,71
CT,2016,December,Opioids ,869
CT,2016,December,Prescription Opioids,1672
CT,2017,January,Cocaine ,250
CT,2017,January,Heroin ,470
CT,2017,January,Methadone,67
CT,2017,January,Opioids ,874
CT,2017,January,Prescription Opioids,1686
CT,2017,February,Cocaine ,247
CT,2017,February,Heroin ,468
CT,2017,February,Methadone,70
CT,2017,February,Opioids ,878
CT,2017,February,Prescription Opioids,1713
CT,2017,March,Cocaine ,259
CT,2017,March,Heroin ,476
CT,2017,March,Methadone,73
CT,2017,March,Opioids ,905
CT,2017,March,Prescription Opioids,1802
CT,2017,April,Cocaine ,267
CT,2017,April,Heroin ,465
CT,2017,April,Methadone,78
CT,2017,April,Opioids ,903
CT,2017,April,Prescription Opioids,1810
CT,2017,May,Cocaine ,280
CT,2017,May,Heroin ,473
CT,2017,May,Methadone,81
CT,2017,May,Opioids ,926
CT,2017,May,Prescription Opioids,1889
CT,2017,June,Cocaine ,278
CT,2017,June,Heroin ,474
CT,2017,June,Methadone,85
CT,2017,June,Opioids ,940
CT,2017,June,Prescription Opioids,1894
CT,2017,July,Cocaine ,286
CT,2017,July,Heroin ,474
CT,2017,July,Methadone,87
CT,2017,July,Opioids ,965
CT,2017,July,Prescription Opioids,1968
CT,2017,August,Cocaine ,294
CT,2017,August,Heroin ,471
CT,2017,August,Methadone,87
CT,2017,August,Opioids ,968
CT,2017,August,Prescription Opioids,1964
CT,2017,September,Cocaine ,289
CT,2017,September,Heroin ,464
CT,2017,September,Methadone,81
CT,2017,September,Opioids ,967
CT,2017,September,Prescription Opioids,1962
CT,2017,October,Cocaine ,285
CT,2017,October,Heroin ,458
CT,2017,October,Methadone,83
CT,2017,October,Opioids ,979
CT,2017,October,Prescription Opioids,1999
CT,2017,November,Cocaine ,285
CT,2017,November,Heroin ,434
CT,2017,November,Methadone,90
CT,2017,November,Opioids ,959
CT,2017,November,Prescription Opioids,1970
CT,2017,December,Cocaine ,290
CT,2017,December,Heroin ,428
CT,2017,December,Methadone,95
CT,2017,December,Opioids ,967
CT,2017,December,Prescription Opioids,2001
CT,2018,January,Cocaine ,281
CT,2018,January,Heroin ,405
CT,2018,January,Methadone,97
CT,2018,January,Opioids ,944
CT,2018,January,Prescription Opioids,1972
CT,2018,February,Cocaine ,281
CT,2018,February,Heroin ,397
CT,2018,February,Methadone,95
CT,2018,February,Opioids ,951
CT,2018,February,Prescription Opioids,1995
CT,2018,March,Cocaine ,282
CT,2018,March,Heroin ,395
CT,2018,March,Methadone,96
CT,2018,March,Opioids ,959
CT,2018,March,Prescription Opioids,2001
CT,2018,April,Cocaine ,284
CT,2018,April,Heroin ,395
CT,2018,April,Methadone,91
CT,2018,April,Opioids ,958
CT,2018,April,Prescription Opioids,2007
CT,2018,May,Cocaine ,283
CT,2018,May,Heroin ,380
CT,2018,May,Methadone,88
CT,2018,May,Opioids ,940
CT,2018,May,Prescription Opioids,1967
CT,2018,June,Cocaine ,294
CT,2018,June,Heroin ,378
CT,2018,June,Methadone,83
CT,2018,June,Opioids ,953
CT,2018,June,Prescription Opioids,2016
CT,2018,July,Cocaine ,298
CT,2018,July,Heroin ,371
CT,2018,July,Methadone,83
CT,2018,July,Opioids ,947
CT,2018,July,Prescription Opioids,2009
CT,2018,August,Cocaine ,301
CT,2018,August,Heroin ,365
CT,2018,August,Methadone,79
CT,2018,August,Opioids ,940
CT,2018,August,Prescription Opioids,2005
CT,2018,September,Cocaine ,310
CT,2018,September,Heroin ,358
CT,2018,September,Methadone,90
CT,2018,September,Opioids ,959
CT,2018,September,Prescription Opioids,2057
CT,2018,October,Cocaine ,314
CT,2018,October,Heroin ,353
CT,2018,October,Methadone,92
CT,2018,October,Opioids ,962
CT,2018,October,Prescription Opioids,2061
CT,2018,November,Cocaine ,314
CT,2018,November,Heroin ,346
CT,2018,November,Methadone,83
CT,2018,November,Opioids ,974
CT,2018,November,Prescription Opioids,2095
CT,2018,December,Cocaine ,307
CT,2018,December,Heroin ,342
CT,2018,December,Methadone,78
CT,2018,December,Opioids ,957
CT,2018,December,Prescription Opioids,2058
CT,2019,January,Cocaine ,317
CT,2019,January,Heroin ,349
CT,2019,January,Methadone,76
CT,2019,January,Opioids ,973
CT,2019,January,Prescription Opioids,2095
CT,2019,February,Cocaine ,319
CT,2019,February,Heroin ,345
CT,2019,February,Methadone,78
CT,2019,February,Opioids ,973
CT,2019,February,Prescription Opioids,2109
CT,2019,March,Cocaine ,312
CT,2019,March,Heroin ,341
CT,2019,March,Methadone,75
CT,2019,March,Opioids ,964
CT,2019,March,Prescription Opioids,2115
CT,2019,April,Cocaine ,307
CT,2019,April,Heroin ,330
CT,2019,April,Methadone,74
CT,2019,April,Opioids ,965
CT,2019,April,Prescription Opioids,2126
CT,2019,May,Cocaine ,308
CT,2019,May,Heroin ,332
CT,2019,May,Methadone,71
CT,2019,May,Opioids ,988
CT,2019,May,Prescription Opioids,2180
CT,2019,June,Cocaine ,319
CT,2019,June,Heroin ,332
CT,2019,June,Methadone,78
CT,2019,June,Opioids ,1000
CT,2019,June,Prescription Opioids,2223
CT,2019,July,Cocaine ,338
CT,2019,July,Heroin ,340
CT,2019,July,Methadone,87
CT,2019,July,Opioids ,1027
CT,2019,July,Prescription Opioids,2290
CT,2019,August,Cocaine ,349
CT,2019,August,Heroin ,361
CT,2019,August,Methadone,90
CT,2019,August,Opioids ,1083
CT,2019,August,Prescription Opioids,2430
CT,2019,September,Cocaine ,345
CT,2019,September,Heroin ,356
CT,2019,September,Methadone,83
CT,2019,September,Opioids ,1079
CT,2019,September,Prescription Opioids,2438
CT,2019,October,Cocaine ,349
CT,2019,October,Heroin ,357
CT,2019,October,Methadone,80
CT,2019,October,Opioids ,1081
CT,2019,October,Prescription Opioids,2455
CT,2019,November,Cocaine ,359
CT,2019,November,Heroin ,355
CT,2019,November,Methadone,81
CT,2019,November,Opioids ,1089
CT,2019,November,Prescription Opioids,2472
CT,2019,December,Cocaine ,375
CT,2019,December,Heroin ,346
CT,2019,December,Methadone,85
CT,2019,December,Opioids ,1119
CT,2019,December,Prescription Opioids,2545
DC,2016,January,Cocaine ,38
DC,2016,January,Heroin ,84
DC,2016,January,Opioids ,115
DC,2016,January,Prescription Opioids,138
DC,2016,February,Cocaine ,39
DC,2016,February,Heroin ,83
DC,2016,February,Methadone,11
DC,2016,February,Opioids ,113
DC,2016,February,Prescription Opioids,138
DC,2016,March,Cocaine ,42
DC,2016,March,Heroin ,89
DC,2016,March,Methadone,11
DC,2016,March,Opioids ,124
DC,2016,March,Prescription Opioids,162
DC,2016,April,Cocaine ,46
DC,2016,April,Heroin ,95
DC,2016,April,Methadone,14
DC,2016,April,Opioids ,135
DC,2016,April,Prescription Opioids,195
DC,2016,May,Cocaine ,57
DC,2016,May,Heroin ,107
DC,2016,May,Methadone,15
DC,2016,May,Opioids ,155
DC,2016,May,Prescription Opioids,239
DC,2016,June,Cocaine ,60
DC,2016,June,Heroin ,113
DC,2016,June,Methadone,15
DC,2016,June,Opioids ,163
DC,2016,June,Prescription Opioids,255
DC,2016,July,Cocaine ,67
DC,2016,July,Heroin ,117
DC,2016,July,Methadone,16
DC,2016,July,Opioids ,170
DC,2016,July,Prescription Opioids,278
DC,2016,August,Cocaine ,76
DC,2016,August,Heroin ,121
DC,2016,August,Methadone,15
DC,2016,August,Opioids ,181
DC,2016,August,Prescription Opioids,304
DC,2016,September,Cocaine ,80
DC,2016,September,Heroin ,120
DC,2016,September,Methadone,15
DC,2016,September,Opioids ,187
DC,2016,September,Prescription Opioids,324
DC,2016,October,Cocaine ,83
DC,2016,October,Heroin ,122
DC,2016,October,Methadone,16
DC,2016,October,Opioids ,195
DC,2016,October,Prescription Opioids,352
DC,2016,November,Cocaine ,97
DC,2016,November,Heroin ,137
DC,2016,November,Methadone,20
DC,2016,November,Opioids ,221
DC,2016,November,Prescription Opioids,409
DC,2016,December,Cocaine ,99
DC,2016,December,Heroin ,146
DC,2016,December,Methadone,21
DC,2016,December,Opioids ,230
DC,2016,December,Prescription Opioids,424
DC,2017,January,Cocaine ,108
DC,2017,January,Heroin ,155
DC,2017,January,Methadone,25
DC,2017,January,Opioids ,253
DC,2017,January,Prescription Opioids,463
DC,2017,February,Cocaine ,112
DC,2017,February,Heroin ,167
DC,2017,February,Methadone,26
DC,2017,February,Opioids ,271
DC,2017,February,Prescription Opioids,499
DC,2017,March,Cocaine ,123
DC,2017,March,Heroin ,176
DC,2017,March,Methadone,30
DC,2017,March,Opioids ,286
DC,2017,March,Prescription Opioids,537
DC,2017,April,Cocaine ,132
DC,2017,April,Heroin ,178
DC,2017,April,Methadone,28
DC,2017,April,Opioids ,300
DC,2017,April,Prescription Opioids,563
DC,2017,May,Cocaine ,131
DC,2017,May,Heroin ,178
DC,2017,May,Methadone,31
DC,2017,May,Opioids ,304
DC,2017,May,Prescription Opioids,577
DC,2017,June,Cocaine ,143
DC,2017,June,Heroin ,177
DC,2017,June,Methadone,31
DC,2017,June,Opioids ,305
DC,2017,June,Prescription Opioids,582
DC,2017,July,Cocaine ,144
DC,2017,July,Heroin ,175
DC,2017,July,Methadone,30
DC,2017,July,Opioids ,305
DC,2017,July,Prescription Opioids,579
DC,2017,August,Cocaine ,142
DC,2017,August,Heroin ,172
DC,2017,August,Methadone,30
DC,2017,August,Opioids ,303
DC,2017,August,Prescription Opioids,587
DC,2017,September,Cocaine ,146
DC,2017,September,Heroin ,166
DC,2017,September,Methadone,31
DC,2017,September,Opioids ,298
DC,2017,September,Prescription Opioids,587
DC,2017,October,Cocaine ,149
DC,2017,October,Heroin ,160
DC,2017,October,Methadone,29
